;;Paul Secret;Calvin Smart;;;Paul Secret;Calvin Smart;;;Paul Secret;Calvin Smart;;;Paul Secret;Calvin Smart;;;Paul Secret;Calvin Smart;;;Paul Secret;Calvin Smart
;983;896;2779;;983;1033;2863;;983;3402;3305;;983;3408;4129;;983;6763;3085;;983;1404;4207
;984;946;3035;;984;1048;3242;;984;3341;3215;;984;3462;3506;;984;6351;3104;;984;1471;4917
;985;959;2780;;985;1201;3474;;985;3355;3290;;985;3394;3809;;985;5960;2961;;985;1394;5045
;986;878;2872;;986;1035;3548;;986;3522;3296;;986;3773;4359;;986;5583;2851;;986;1699;5220
;987;1005;2934;;987;1087;3190;;987;3220;2876;;987;3585;4166;;987;5970;3272;;987;1364;4724
;988;1256;3380;;988;951;3319;;988;3465;3103;;988;3506;4128;;988;6017;2897;;988;1618;5220
;989;818;2781;;989;1004;3091;;989;3321;3303;;989;3333;3982;;989;6187;3047;;989;1359;4514
;990;1048;2999;;990;1017;2991;;990;3237;3233;;990;3978;4426;;990;5921;3130;;990;1410;4762
;991;1166;2921;;991;982;3135;;991;3345;3442;;991;3597;4014;;991;6169;2886;;991;1515;5043
;992;1202;3194;;992;1027;3215;;992;3192;2997;;992;3341;3668;;992;5873;3182;;992;1466;4991
;993;903;2939;;993;943;3427;;993;3474;3101;;993;3759;4177;;993;5945;2607;;993;1629;4649
;994;927;2790;;994;1152;3052;;994;3475;3445;;994;3477;4115;;994;6271;3057;;994;1741;5259
;995;874;2766;;995;1087;2919;;995;3481;3160;;995;3771;4102;;995;5512;2690;;995;1373;4756
;996;1050;2892;;996;1104;3316;;996;3675;3245;;996;3589;3599;;996;6714;3309;;996;1335;4946
;997;859;2940;;997;871;3474;;997;3743;3124;;997;3550;4165;;997;5502;2838;;997;1695;5093
;998;988;2907;;998;991;3141;;998;3358;3134;;998;3604;3846;;998;5450;2978;;998;1550;5249
;999;960;3134;;999;859;3087;;999;3836;3290;;999;3333;3594;;999;5918;3256;;999;1776;5611
;1000;1150;3095;;1000;799;2899;;1000;3816;3582;;1000;3807;3883;;1000;6288;2991;;1000;1426;4966
;1001;1049;3091;;1001;1135;3280;;1001;3200;2974;;1001;3426;4208;;1001;5988;3074;;1001;1478;4693
;1002;924;2926;;1002;1128;3270;;1002;3807;3673;;1002;3358;3471;;1002;5874;2959;;1002;1708;5112
;1003;927;2582;;1003;903;2758;;1003;3575;3134;;1003;3337;4075;;1003;5703;3020;;1003;1414;4675
;1004;991;2926;;1004;983;3077;;1004;3319;3097;;1004;3653;3959;;1004;5843;2975;;1004;1376;4855
;1005;967;3119;;1005;910;3055;;1005;3188;3193;;1005;3686;3921;;1005;5839;2903;;1005;1562;5533
;1006;1070;3199;;1006;958;3086;;1006;3108;2878;;1006;3825;4352;;1006;4937;2863;;1006;1375;4389
;1007;1103;3293;;1007;923;3408;;1007;3235;2961;;1007;3675;3552;;1007;6094;2626;;1007;1625;4665
;1008;997;3070;;1008;943;3055;;1008;3309;3042;;1008;3755;3487;;1008;6016;2983;;1008;1505;4827
;1009;921;3344;;1009;992;2975;;1009;3948;3399;;1009;3650;4050;;1009;6729;3155;;1009;1661;5432
;1010;944;2902;;1010;902;3133;;1010;3390;3426;;1010;3395;3554;;1010;6337;3190;;1010;1370;4807
;1011;844;2715;;1011;1022;3297;;1011;3845;3216;;1011;3688;4184;;1011;6711;3327;;1011;1551;4692
;1012;885;2564;;1012;810;3014;;1012;3144;3178;;1012;3448;4229;;1012;6024;3184;;1012;1515;5489
;1013;945;2712;;1013;1221;3433;;1013;3113;2897;;1013;3098;4132;;1013;5867;2840;;1013;1730;4931
;1014;918;2968;;1014;1088;3300;;1014;3519;2928;;1014;3978;4628;;1014;6134;2862;;1014;1454;5029
;1015;852;2708;;1015;975;3439;;1015;3411;3432;;1015;3475;3856;;1015;6013;3030;;1015;1233;4279
;1016;1009;3065;;1016;1049;3181;;1016;3301;3086;;1016;3921;4014;;1016;5643;3244;;1016;1443;4640
;1017;977;3151;;1017;1060;3370;;1017;3508;3507;;1017;3679;3936;;1017;6164;2704;;1017;1531;5057
;1018;1078;3325;;1018;870;3453;;1018;3970;3481;;1018;3227;3903;;1018;6288;2988;;1018;1409;5016
;1019;1054;2801;;1019;1053;3163;;1019;3848;3263;;1019;3495;4115;;1019;5951;2979;;1019;1509;5110
;1020;1074;3272;;1020;935;3203;;1020;3461;3221;;1020;3575;4038;;1020;5833;3466;;1020;1536;5209
;1021;1044;2882;;1021;1034;3372;;1021;3500;3255;;1021;3826;4309;;1021;6742;3261;;1021;1343;5036
;1022;1021;2800;;1022;952;3204;;1022;3649;3617;;1022;3585;4201;;1022;5850;2850;;1022;1377;4961
;1023;910;2727;;1023;1078;3320;;1023;3653;3267;;1023;3123;3806;;1023;6593;3319;;1023;1326;4720
;1024;1097;2973;;1024;988;3045;;1024;3181;3258;;1024;3730;4046;;1024;5744;3125;;1024;1527;5135
;1025;909;2631;;1025;883;3057;;1025;3485;3245;;1025;3966;4262;;1025;5744;2807;;1025;1467;5276
;1026;993;2976;;1026;1029;2932;;1026;3727;3443;;1026;3901;4139;;1026;6383;2966;;1026;1407;5047
;1027;843;2856;;1027;852;3023;;1027;3514;3358;;1027;3401;3880;;1027;6011;3187;;1027;1306;4651
;1028;953;2914;;1028;805;2828;;1028;3396;3017;;1028;3395;4167;;1028;5985;2632;;1028;1503;5436
;1029;1098;3290;;1029;993;3269;;1029;3455;3091;;1029;3923;4555;;1029;5684;2839;;1029;1574;4504
;1030;1056;2982;;1030;918;2891;;1030;3440;3207;;1030;3482;3720;;1030;5275;2808;;1030;1657;5321
;1031;961;2663;;1031;1036;3096;;1031;3345;3185;;1031;2993;3919;;1031;6069;2842;;1031;1475;4786
;1032;1128;3160;;1032;1022;3182;;1032;3973;3210;;1032;3422;3981;;1032;5321;2720;;1032;1460;4853
;1033;881;2964;;1033;1198;3344;;1033;3450;3169;;1033;3554;3752;;1033;5955;2788;;1033;1629;5075
;1034;961;2798;;1034;1024;3151;;1034;3603;3303;;1034;3576;4144;;1034;5953;3035;;1034;1581;4891
;1035;1134;3076;;1035;991;3336;;1035;3303;3209;;1035;3530;3701;;1035;5601;2877;;1035;1436;4940
;1036;1161;3281;;1036;823;2836;;1036;3021;3248;;1036;3528;3958;;1036;6441;3252;;1036;1454;4404
;1037;1023;3000;;1037;997;2881;;1037;3553;3252;;1037;3413;3887;;1037;5852;2884;;1037;1561;5019
;1038;1070;2928;;1038;1111;3261;;1038;3051;3121;;1038;3209;4036;;1038;6078;3360;;1038;1401;4901
;1039;1053;3113;;1039;793;2787;;1039;2987;2819;;1039;3866;4379;;1039;5692;2831;;1039;1462;5114
;1040;1008;2725;;1040;1215;3257;;1040;3816;3472;;1040;3151;4088;;1040;5795;2993;;1040;1574;5246
;1041;1007;2667;;1041;984;3298;;1041;3221;3181;;1041;3290;3859;;1041;6580;3373;;1041;1359;5189
;1042;932;3234;;1042;917;3486;;1042;3164;3092;;1042;3334;4121;;1042;6643;3240;;1042;1552;5047
;1043;898;3020;;1043;1207;3319;;1043;3575;3161;;1043;3244;3687;;1043;6500;3284;;1043;1572;5367
;1044;1036;2958;;1044;1187;3037;;1044;3467;3392;;1044;3328;3943;;1044;5417;3007;;1044;1455;5124
;1045;883;3006;;1045;991;3093;;1045;3505;3339;;1045;3354;3763;;1045;5911;3028;;1045;1517;5268
;1046;1036;3046;;1046;1044;3578;;1046;3752;3300;;1046;3172;3757;;1046;6042;2890;;1046;1574;5198
;1047;915;3020;;1047;1033;3243;;1047;3166;2993;;1047;3790;3959;;1047;5836;2834;;1047;1639;5306
;1048;1000;2924;;1048;866;2937;;1048;3445;3171;;1048;3803;4305;;1048;6013;2838;;1048;1660;4871
;1049;1160;2918;;1049;1188;3280;;1049;3603;2955;;1049;3370;3824;;1049;6449;3186;;1049;1538;5065
;1050;999;3056;;1050;1073;3375;;1050;3313;3000;;1050;3501;4115;;1050;5820;2901;;1050;1257;4998
;1051;941;3123;;1051;1201;3659;;1051;3634;3159;;1051;3598;3935;;1051;6666;3140;;1051;1446;4549
;1052;1155;3044;;1052;966;3082;;1052;3669;3206;;1052;3502;4049;;1052;6306;2893;;1052;1431;4915
;1053;971;2817;;1053;1088;3028;;1053;3649;3222;;1053;3497;4185;;1053;6026;2905;;1053;1406;4704
;1054;911;3193;;1054;986;3250;;1054;2983;3103;;1054;3116;4114;;1054;6320;3081;;1054;1492;4589
;1055;1015;3351;;1055;1129;3580;;1055;3024;3212;;1055;3185;3874;;1055;6362;3142;;1055;1479;5182
;1056;1010;2924;;1056;1034;3536;;1056;3550;3311;;1056;3468;3817;;1056;5647;3245;;1056;1516;5393
;1057;1050;2934;;1057;1002;3213;;1057;3644;3234;;1057;3922;4523;;1057;6204;3346;;1057;1454;4614
;1058;1055;3016;;1058;960;3075;;1058;3444;3077;;1058;2820;3583;;1058;6344;2485;;1058;1508;4511
;1059;1122;2979;;1059;904;2917;;1059;3946;3372;;1059;3174;3824;;1059;6372;3108;;1059;1583;5036
;1060;908;2591;;1060;965;2746;;1060;3529;3335;;1060;3503;4118;;1060;6234;2893;;1060;1567;5367
;1061;905;2964;;1061;983;3568;;1061;3596;2926;;1061;3420;3987;;1061;6112;2985;;1061;1654;5533
;1062;906;2853;;1062;975;3261;;1062;3644;3073;;1062;3404;3357;;1062;5784;2912;;1062;1470;5150
;1063;963;3137;;1063;1014;3294;;1063;3984;3405;;1063;3630;4159;;1063;5474;2804;;1063;1501;4700
;1064;1012;2961;;1064;885;3099;;1064;3242;2965;;1064;3538;4264;;1064;6199;2868;;1064;1328;4831
;1065;1019;2744;;1065;1043;3093;;1065;3399;3309;;1065;3230;3862;;1065;5956;2814;;1065;1505;5339
;1066;1092;3497;;1066;1042;3150;;1066;3478;3145;;1066;3009;3534;;1066;5436;2538;;1066;1339;5133
;1067;1031;3190;;1067;1028;3222;;1067;3261;3266;;1067;3555;3858;;1067;6169;3102;;1067;1345;5119
;1068;1018;3110;;1068;954;2959;;1068;3684;3324;;1068;3689;3868;;1068;6252;3025;;1068;1650;5030
;1069;1107;3446;;1069;1045;3132;;1069;3824;3384;;1069;3203;4017;;1069;6574;3028;;1069;1263;4683
;1070;1096;3143;;1070;1053;3136;;1070;3909;3186;;1070;3586;3771;;1070;5622;2956;;1070;1418;4575
;1071;762;2837;;1071;1031;3359;;1071;3490;3087;;1071;3295;4456;;1071;6543;3175;;1071;1251;4321
;1072;1102;3095;;1072;865;2947;;1072;3323;3006;;1072;3415;3912;;1072;6297;2980;;1072;1399;4712
;1073;917;2909;;1073;1004;3321;;1073;3605;3512;;1073;3189;3796;;1073;6112;2948;;1073;1705;5152
;1074;1127;3173;;1074;888;3320;;1074;3594;3152;;1074;3538;4085;;1074;5404;2672;;1074;1509;5069
;1075;1078;3183;;1075;1070;3034;;1075;3376;3316;;1075;3147;3972;;1075;5694;3062;;1075;1546;4881
;1076;855;2873;;1076;991;3461;;1076;3614;3193;;1076;3631;4160;;1076;6140;2755;;1076;1628;5194
;1077;876;2606;;1077;963;3259;;1077;3528;3415;;1077;3513;3860;;1077;6050;3120;;1077;1428;5252
;1078;1154;3369;;1078;938;3007;;1078;3323;3306;;1078;3556;4148;;1078;5462;3105;;1078;1413;4282
;1079;874;3021;;1079;1127;3454;;1079;3163;3226;;1079;3305;4122;;1079;5779;2983;;1079;1579;5142
;1080;960;2867;;1080;874;3125;;1080;3539;3239;;1080;3529;4105;;1080;6025;2729;;1080;1368;4956
;1081;1059;2934;;1081;1082;3403;;1081;3366;3351;;1081;3388;4119;;1081;5814;2711;;1081;1526;4675
;1082;1046;2952;;1082;1095;3065;;1082;3553;3199;;1082;3611;3690;;1082;6267;3430;;1082;1506;4683
;1083;978;2982;;1083;876;3186;;1083;3552;3391;;1083;3955;4457;;1083;5909;2876;;1083;1456;4806
;1084;1016;3268;;1084;954;2904;;1084;3687;3354;;1084;3939;4312;;1084;6073;3000;;1084;1377;4683
;1085;880;2975;;1085;899;3082;;1085;3587;2885;;1085;3582;4028;;1085;5893;2928;;1085;1522;5033
;1086;1091;2993;;1086;960;3246;;1086;3136;3138;;1086;3939;4350;;1086;6981;3519;;1086;1434;5135
;1087;1100;3118;;1087;1046;3429;;1087;3247;3356;;1087;3374;3784;;1087;6096;2821;;1087;1485;4814
;1088;1113;3194;;1088;847;3178;;1088;3539;3498;;1088;3131;3763;;1088;6359;3171;;1088;1321;4206
;1089;1078;3141;;1089;1124;3533;;1089;3389;3244;;1089;3350;3691;;1089;5800;2945;;1089;1479;4773
;1090;983;2794;;1090;1072;3292;;1090;3315;3246;;1090;3375;4130;;1090;5893;2918;;1090;1472;4903
;1091;986;3209;;1091;1134;3238;;1091;3406;3183;;1091;3284;4057;;1091;6474;2739;;1091;1667;5317
;1092;1101;3021;;1092;866;2715;;1092;3642;3247;;1092;3584;4012;;1092;4545;2513;;1092;1611;5055
;1093;872;2958;;1093;1055;3368;;1093;3533;3163;;1093;3368;3907;;1093;5923;2795;;1093;1635;5541
;1094;1131;2974;;1094;1066;3485;;1094;3349;2965;;1094;3356;4075;;1094;5636;2786;;1094;1357;4969
;1095;937;2821;;1095;1094;3573;;1095;3380;3423;;1095;3477;4256;;1095;6378;2982;;1095;1506;4793
;1096;926;2860;;1096;865;3298;;1096;3530;2860;;1096;3758;4149;;1096;6284;3127;;1096;1663;5454
;1097;1132;3011;;1097;1104;3304;;1097;3544;3504;;1097;4137;4042;;1097;5685;2858;;1097;1584;5563
;1098;900;2875;;1098;1034;3230;;1098;3152;2943;;1098;3175;3882;;1098;5966;3122;;1098;1501;5113
;1099;860;2853;;1099;1109;3559;;1099;3883;3383;;1099;3676;4025;;1099;6265;2910;;1099;1628;5209
;1100;840;2716;;1100;1070;3176;;1100;3576;3170;;1100;3434;3761;;1100;5962;2971;;1100;1358;4946
;1101;997;2978;;1101;1056;3362;;1101;3724;3453;;1101;3988;4525;;1101;4892;2622;;1101;1382;5140
;1102;1005;3253;;1102;837;2968;;1102;3520;3201;;1102;3807;4199;;1102;6051;3018;;1102;1711;5005
;1103;893;2863;;1103;1076;3286;;1103;3916;3071;;1103;3670;4115;;1103;6453;3213;;1103;1309;5064
;1104;999;3043;;1104;1032;2931;;1104;3625;3416;;1104;2936;3803;;1104;5953;2956;;1104;1610;4485
;1105;984;3173;;1105;701;2779;;1105;3646;3451;;1105;3266;3715;;1105;6236;2907;;1105;1467;5171
;1106;1130;3159;;1106;895;2729;;1106;3262;3227;;1106;3597;4039;;1106;6013;2898;;1106;1532;5080
;1107;934;2963;;1107;1037;3264;;1107;3565;3289;;1107;3245;3763;;1107;5983;2722;;1107;1677;5169
;1108;948;3055;;1108;988;3194;;1108;3768;3421;;1108;3275;3750;;1108;6827;3049;;1108;1660;5079
;1109;1131;3392;;1109;1116;3297;;1109;3694;3359;;1109;3880;4240;;1109;5602;2951;;1109;1569;4962
;1110;946;3188;;1110;1109;3379;;1110;3336;3098;;1110;3224;3742;;1110;5390;3014;;1110;1517;5111
;1111;950;2636;;1111;909;2955;;1111;3339;3398;;1111;3881;4183;;1111;6121;3020;;1111;1227;4923
;1112;970;3121;;1112;924;2918;;1112;3266;3213;;1112;3366;3569;;1112;5656;2904;;1112;1470;5160
;1113;912;2904;;1113;1035;3490;;1113;3214;3023;;1113;3641;4332;;1113;5982;3025;;1113;1700;5055
;1114;1088;3023;;1114;970;3174;;1114;3750;3315;;1114;3682;3806;;1114;5673;2544;;1114;1590;5169
;1115;945;2682;;1115;980;2877;;1115;3653;3164;;1115;2994;4218;;1115;6410;3102;;1115;1412;4711
;1116;905;2839;;1116;1027;3233;;1116;3874;3388;;1116;3770;4289;;1116;6253;3192;;1116;1551;5449
;1117;882;3001;;1117;1048;3322;;1117;3504;3226;;1117;3383;3926;;1117;6083;3092;;1117;1743;5239
;1118;1365;3506;;1118;1043;3287;;1118;3608;2952;;1118;3512;3740;;1118;5040;2963;;1118;1453;4828
;1119;1098;3133;;1119;989;3326;;1119;3744;3393;;1119;3833;4139;;1119;5459;2874;;1119;1425;5106
;1120;1127;2735;;1120;1020;2929;;1120;3563;2904;;1120;3571;3753;;1120;5527;3028;;1120;1376;4719
;1121;991;3007;;1121;1069;3385;;1121;3251;3284;;1121;3928;4264;;1121;5722;3067;;1121;1729;5204
;1122;1093;3233;;1122;989;3433;;1122;3254;3163;;1122;3719;4120;;1122;6868;2893;;1122;1749;5191
;1123;936;2851;;1123;1022;3100;;1123;3758;3225;;1123;3759;4554;;1123;6101;3053;;1123;1465;4884
;1124;983;2924;;1124;1084;3355;;1124;3543;3367;;1124;3126;3996;;1124;5736;2882;;1124;1458;5152
;1125;1076;3097;;1125;950;3126;;1125;3677;3005;;1125;3834;4099;;1125;5598;3210;;1125;1321;4684
;1126;1078;3258;;1126;1026;2998;;1126;3152;3049;;1126;3317;4027;;1126;6408;3010;;1126;1786;5468
;1127;1194;3149;;1127;1076;2869;;1127;3829;3210;;1127;3300;4196;;1127;6047;3111;;1127;1518;5302
;1128;983;2739;;1128;888;2843;;1128;3836;3395;;1128;3421;3920;;1128;6580;3435;;1128;1524;5029
;1129;815;2824;;1129;1092;3745;;1129;3512;3362;;1129;3435;3951;;1129;6281;2967;;1129;1527;5115
;1130;1186;3287;;1130;871;3217;;1130;3661;3433;;1130;3468;4456;;1130;5951;2986;;1130;1540;5247
;1131;993;3115;;1131;890;3211;;1131;3518;2833;;1131;3106;3843;;1131;6374;3003;;1131;1449;5079
;1132;981;3332;;1132;894;3441;;1132;3609;3385;;1132;3570;4697;;1132;5660;2956;;1132;1531;4958
;1133;1043;3002;;1133;830;2742;;1133;3413;3238;;1133;3205;4030;;1133;7043;3289;;1133;1653;5197
;1134;955;3292;;1134;958;3053;;1134;3151;3063;;1134;3086;4093;;1134;6806;3145;;1134;1343;4630
;1135;825;2389;;1135;901;2918;;1135;3563;3042;;1135;3350;4042;;1135;5158;2782;;1135;1625;5655
;1136;1033;3059;;1136;917;3099;;1136;3378;3078;;1136;3300;3944;;1136;5915;3173;;1136;1480;4993
;1137;944;2827;;1137;900;3245;;1137;3266;3331;;1137;3344;4035;;1137;6281;2863;;1137;1348;5030
;1138;941;2684;;1138;1005;3192;;1138;3519;3465;;1138;3373;4040;;1138;6481;3280;;1138;1428;4584
;1139;995;3195;;1139;837;3074;;1139;3295;3260;;1139;3675;3933;;1139;5745;2964;;1139;1395;4871
;1140;869;2605;;1140;936;3367;;1140;3588;3411;;1140;3087;3628;;1140;5961;2866;;1140;1368;4785
;1141;982;2963;;1141;982;3283;;1141;3685;3143;;1141;3269;4194;;1141;6153;2984;;1141;1529;5019
;1142;1089;3255;;1142;1070;3244;;1142;3870;3456;;1142;3227;3833;;1142;5662;3166;;1142;1487;4387
;1143;1156;3405;;1143;1021;3055;;1143;3450;3523;;1143;3160;3363;;1143;6015;3139;;1143;1452;4954
;1144;1025;2757;;1144;1060;3095;;1144;3819;3356;;1144;4030;4215;;1144;6249;3062;;1144;1362;4961
;1145;956;2994;;1145;1019;3092;;1145;3429;3286;;1145;3707;4345;;1145;5816;2968;;1145;1412;4568
;1146;1026;3053;;1146;970;3471;;1146;3442;3324;;1146;2913;3647;;1146;5240;2630;;1146;1544;5198
;1147;838;2711;;1147;1150;3524;;1147;3550;3451;;1147;3851;3877;;1147;5840;3025;;1147;1514;4858
;1148;1083;3224;;1148;1001;3437;;1148;3535;3124;;1148;3380;4323;;1148;6251;3293;;1148;1362;3926
;1149;1120;3102;;1149;953;3027;;1149;3689;3732;;1149;4119;4445;;1149;6591;2996;;1149;1657;5566
;1150;1057;3371;;1150;850;2857;;1150;3405;2923;;1150;3800;4230;;1150;6529;2837;;1150;1444;4849
;1151;884;2883;;1151;974;3297;;1151;3142;3095;;1151;3524;4069;;1151;5780;2738;;1151;1425;5348
;1152;891;2903;;1152;942;2926;;1152;3576;3367;;1152;2948;3744;;1152;6083;3047;;1152;1491;4712
;1153;990;3000;;1153;917;2774;;1153;3337;2989;;1153;3232;3814;;1153;6365;3258;;1153;1384;5001
;1154;940;3144;;1154;759;3307;;1154;3523;3342;;1154;3753;4021;;1154;6092;3119;;1154;1434;5051
;1155;989;2861;;1155;1103;3374;;1155;3185;3010;;1155;3741;3992;;1155;6023;3046;;1155;1377;5239
;1156;857;3195;;1156;964;2895;;1156;3108;2809;;1156;3673;3809;;1156;5625;2673;;1156;1361;4810
;1157;944;2887;;1157;1098;3292;;1157;3654;3364;;1157;3104;3659;;1157;5517;2853;;1157;1253;4846
;1158;913;2584;;1158;936;3208;;1158;3926;3533;;1158;3879;4167;;1158;5978;2863;;1158;1553;4815
;1159;917;3286;;1159;1149;3651;;1159;3393;3284;;1159;3417;4412;;1159;6253;2939;;1159;1412;4858
;1160;982;2666;;1160;985;3424;;1160;3596;3452;;1160;3660;3934;;1160;6289;3012;;1160;1236;4504
;1161;967;3256;;1161;1086;3246;;1161;3557;3134;;1161;3324;4158;;1161;6278;2899;;1161;1691;5347
;1162;993;2788;;1162;948;3086;;1162;2907;3096;;1162;3218;4002;;1162;5975;3395;;1162;1419;5148
;1163;944;2964;;1163;1050;2904;;1163;3265;3201;;1163;3619;4365;;1163;6722;3286;;1163;1513;4763
;1164;1120;3309;;1164;1074;3141;;1164;3608;3021;;1164;3530;3686;;1164;6078;2726;;1164;1447;4990
;1165;911;2633;;1165;984;3314;;1165;3411;3219;;1165;3361;4033;;1165;5057;2966;;1165;1603;5159
;1166;975;2703;;1166;960;2954;;1166;3231;2970;;1166;3388;3816;;1166;5289;2774;;1166;1600;5417
;1167;1094;3184;;1167;1087;3266;;1167;3269;2843;;1167;3298;4274;;1167;6385;3439;;1167;1763;5549
;1168;1213;3137;;1168;942;3291;;1168;3462;3279;;1168;3183;4125;;1168;5914;2950;;1168;1390;5226
;1169;1014;3153;;1169;934;3002;;1169;3403;3094;;1169;3394;4121;;1169;6602;3022;;1169;1415;5051
;1170;952;2778;;1170;857;2976;;1170;2932;3071;;1170;3371;4043;;1170;6968;3455;;1170;1517;4938
;1171;823;2829;;1171;1001;3089;;1171;3466;3446;;1171;3369;4250;;1171;7414;3289;;1171;1529;4814
;1172;830;2951;;1172;1003;3097;;1172;3053;3165;;1172;3551;3856;;1172;6026;3050;;1172;1550;4784
;1173;962;2730;;1173;933;3365;;1173;3620;3174;;1173;3611;3609;;1173;5367;2555;;1173;1503;5005
;1174;947;2913;;1174;1139;3128;;1174;3078;3125;;1174;3358;4412;;1174;6548;3137;;1174;1436;4912
;1175;842;3042;;1175;968;3248;;1175;3766;3511;;1175;3284;4186;;1175;6428;3273;;1175;1582;5361
;1176;1011;3037;;1176;1169;3137;;1176;3825;3079;;1176;3332;3854;;1176;5684;3282;;1176;1451;4945
;1177;1025;2983;;1177;1075;3165;;1177;3458;3422;;1177;3452;3953;;1177;6271;3150;;1177;1407;4993
;1178;1023;2524;;1178;1075;3217;;1178;3329;3277;;1178;3272;4356;;1178;5499;2845;;1178;1665;5134
;1179;867;2974;;1179;865;3425;;1179;3320;2784;;1179;3535;4109;;1179;6399;3116;;1179;1492;4590
;1180;905;3053;;1180;813;3004;;1180;3551;3119;;1180;3409;3874;;1180;6106;3088;;1180;1428;4863
;1181;1047;3000;;1181;936;3116;;1181;3677;3333;;1181;3646;4251;;1181;6563;3167;;1181;1542;5042
;1182;988;2718;;1182;955;2942;;1182;3405;3175;;1182;3145;3623;;1182;5731;3044;;1182;1565;4936
;1183;1036;3018;;1183;1036;2974;;1183;3620;3165;;1183;3594;4255;;1183;6642;3238;;1183;1686;4993
;1184;1065;3068;;1184;989;3169;;1184;3578;3002;;1184;3448;4136;;1184;5172;3002;;1184;1485;5180
;1185;1136;3202;;1185;899;3042;;1185;2951;3177;;1185;3803;4485;;1185;5882;2816;;1185;1411;4960
;1186;968;3115;;1186;1002;3356;;1186;3732;3088;;1186;3638;4354;;1186;5935;3083;;1186;1702;4997
;1187;973;3070;;1187;958;3418;;1187;3726;3702;;1187;3500;3982;;1187;6081;2831;;1187;1525;4766
;1188;910;2713;;1188;909;3047;;1188;3506;2847;;1188;3580;3926;;1188;6377;2899;;1188;1366;5024
;1189;1036;2791;;1189;1033;3191;;1189;3455;3115;;1189;3538;4004;;1189;6351;3107;;1189;1432;4748
;1190;1001;2991;;1190;949;3154;;1190;3782;3179;;1190;3474;3993;;1190;5478;2665;;1190;1630;4934
;1191;1013;3164;;1191;1193;3619;;1191;3674;3337;;1191;3573;4610;;1191;6155;3134;;1191;1638;4944
;1192;1078;2921;;1192;980;3001;;1192;3650;3485;;1192;3788;4139;;1192;5599;2849;;1192;1295;4344
;1193;848;2746;;1193;797;3058;;1193;3637;3539;;1193;3036;3770;;1193;6535;2867;;1193;1324;4530
;1194;1055;2954;;1194;923;3009;;1194;3314;3274;;1194;3280;4189;;1194;5145;2615;;1194;1339;4795
;1195;923;3078;;1195;868;3136;;1195;3503;3631;;1195;3611;3845;;1195;6574;3346;;1195;1593;5014
;1196;1080;2776;;1196;1130;3397;;1196;3001;2752;;1196;3388;4073;;1196;5638;2888;;1196;1548;4844
;1197;970;3078;;1197;1047;3113;;1197;3612;2910;;1197;3877;4325;;1197;5827;2881;;1197;1636;5128
;1198;1270;2813;;1198;971;3179;;1198;3581;3338;;1198;3470;4078;;1198;5980;2692;;1198;1516;5179
;1199;950;3306;;1199;1106;3164;;1199;3489;3209;;1199;3205;3726;;1199;6160;2786;;1199;1481;5620
;1200;1030;2891;;1200;1107;3354;;1200;3455;3576;;1200;3193;3499;;1200;5203;2837;;1200;1790;5601
;1201;1074;2918;;1201;1074;3523;;1201;2781;2784;;1201;3130;3508;;1201;6280;2943;;1201;1388;4900
;1202;1107;3350;;1202;951;3388;;1202;3306;2684;;1202;3568;4427;;1202;6120;3076;;1202;1487;4762
;1203;1004;3063;;1203;931;3277;;1203;3522;3253;;1203;3670;4168;;1203;5724;2880;;1203;1436;4773
;1204;1173;3139;;1204;852;3000;;1204;3490;3194;;1204;4058;4259;;1204;5794;3214;;1204;1492;4786
;1205;970;3212;;1205;1038;3262;;1205;3528;3190;;1205;3594;3910;;1205;6335;2862;;1205;1351;4673
;1206;999;3164;;1206;995;3423;;1206;3532;3147;;1206;3495;4253;;1206;5530;3296;;1206;1383;5237
;1207;1143;3336;;1207;1121;2879;;1207;3016;3101;;1207;3966;4552;;1207;5012;2548;;1207;1191;4501
;1208;1062;3211;;1208;928;3428;;1208;3073;3207;;1208;3819;4231;;1208;6118;2828;;1208;1644;4735
;1209;1032;2983;;1209;1079;3492;;1209;3198;3162;;1209;3527;3866;;1209;6819;3207;;1209;1515;4926
;1210;1124;2956;;1210;997;3344;;1210;3185;3003;;1210;3470;3718;;1210;6788;3294;;1210;1579;5142
;1211;986;2757;;1211;970;3571;;1211;3494;3340;;1211;3630;4346;;1211;5751;2814;;1211;1635;5297
;1212;1034;2863;;1212;930;3075;;1212;3601;3089;;1212;3524;4060;;1212;6204;3272;;1212;1724;5101
;1213;995;2612;;1213;1147;3631;;1213;3737;3322;;1213;3577;3881;;1213;5793;2893;;1213;1635;4897
;1214;883;2968;;1214;903;2980;;1214;3517;3021;;1214;3515;3741;;1214;6269;3109;;1214;1532;5039
;1215;1028;3147;;1215;1080;3370;;1215;3597;3416;;1215;3432;4181;;1215;6590;3260;;1215;1546;5494
;1216;1115;3025;;1216;1011;3193;;1216;3148;2947;;1216;3459;4111;;1216;5944;2834;;1216;1688;5163
;1217;876;2801;;1217;980;3263;;1217;3873;3373;;1217;3318;3982;;1217;6451;2960;;1217;1473;4579
;1218;1050;3002;;1218;882;2909;;1218;3827;3265;;1218;3836;4103;;1218;5726;3104;;1218;1721;5047
;1219;894;2880;;1219;860;3141;;1219;3413;3300;;1219;3925;4466;;1219;5565;2660;;1219;1676;5603
